date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-05-28,85.4336,86.1425,85.2817,85.2901,7587010,7587010,-0.253186,-0.296,85.6953,"May 28, 14",0.07950673599262864
2014-05-29,85.6952,85.7881,85.2564,85.4674,6113654,6113654,0.177228,0.208,85.4777,"May 29, 14",0.081750801180634
2014-05-30,85.0707,85.3661,84.7078,84.8428,11488959,11488959,-0.624525,-0.731,85.9287,"May 30, 14",0.0738453126503005
2014-06-02,84.8428,85.1382,84.117,84.3449,7762537,7762537,-0.497936,-0.587,84.5432,"Jun 2, 14",0.06754345107608813
2014-06-03,84.0495,84.9779,84.0495,84.7247,9384234,9384234,0.379784,0.45,84.688,"Jun 3, 14",0.07235053487983562
2014-06-04,84.5728,84.7795,84.3618,84.4293,7154661,7154661,-0.295387,-0.349,84.5291,"Jun 4, 14",0.06861169192136536
2014-06-05,84.4799,85.096,84.3618,84.8597,12296438,12296438,0.430416,0.51,84.7908,"Jun 5, 14",0.07405921395699709
2014-06-06,84.9104,85.7712,84.9019,85.7459,9342474,9342474,0.886155,1.044,87.5679,"Jun 6, 14",0.08527574283240784
2014-06-09,85.6193,86.0497,85.3998,85.6784,6404983,6404983,-0.067517,-0.079,85.7228,"Jun 9, 14",0.08442140329382701
2014-06-10,85.6446,85.8556,85.2395,85.6277,7917532,7917532,-0.050638,-0.059,85.4744,"Jun 10, 14",0.08377969937373761
2014-06-11,85.3998,86.362,85.2395,86.0413,10270318,10270318,0.413541,0.483,85.97,"Jun 11, 14",0.08901458579087809
2014-06-12,86.4717,86.881,85.7206,85.7965,11421250,11421250,-0.244749,-0.284,86.3425,"Jun 12, 14",0.0859161810642919
2014-06-13,86.0244,86.6363,85.7712,86.632,8241548,8241548,0.835513,0.974,86.3499,"Jun 13, 14",0.09649100601961325
2014-06-16,86.5645,87.1384,86.2269,86.8599,8977642,8977642,0.22787,0.263,86.8524,"Jun 16, 14",0.09937550943950266
2014-06-17,86.5729,86.5814,85.6193,86.4379,9355388,9355388,-0.421977,-0.486,86.3767,"Jun 17, 14",0.09403430521311665
2014-06-18,86.5645,86.8852,86.1341,86.6995,9575877,9575877,0.261626,0.303,86.5472,"Jun 18, 14",0.0973453455581939
2014-06-19,86.5983,86.7924,85.8134,86.6151,11107691,11107691,-0.084396,-0.097,86.2621,"Jun 19, 14",0.09627710471291666
2014-06-20,87.1637,87.822,86.8768,87.6279,17681113,17681113,1.0127,1.169,87.7796,"Jun 20, 14",0.10909599485624318
2014-06-23,87.8642,88.2862,87.6701,88.0921,8553670,8553670,0.464177,0.53,87.9717,"Jun 23, 14",0.1149713195052679
2014-06-24,87.9233,88.168,86.4801,86.6995,9708408,9708408,-1.3925,-1.581,79.2966,"Jun 24, 14",0.0973453455581939
